TIME, ID, ST_B, ST_A, chunking, no_chunk, complete, shutdonw, fail
401.212172, 75, 1, 1, 0, 99, 0, 0, 0
402.002957, 26, 1, 1, 0, 99, 0, 0, 0
405.609603, 59, 1, 1, 0, 99, 0, 0, 0
405.825200, 3, 1, 1, 0, 99, 0, 0, 0
405.903111, 74, 1, 1, 0, 99, 0, 0, 0
406.109099, 13, 1, 1, 0, 99, 0, 0, 0
407.608875, 10, 1, 1, 0, 99, 0, 0, 0
408.749788, 29, 1, 1, 0, 99, 0, 0, 0
411.356971, 32, 1, 1, 0, 99, 0, 0, 0
411.599678, 70, 1, 1, 0, 99, 0, 0, 0
412.125043, 28, 1, 1, 0, 99, 0, 0, 0
413.799426, 36, 1, 1, 0, 99, 0, 0, 0
415.931007, 96, 1, 1, 0, 99, 0, 0, 0
417.065057, 37, 1, 1, 0, 99, 0, 0, 0
417.406839, 51, 1, 1, 0, 99, 0, 0, 0
418.080000, 72, 1, 1, 0, 99, 0, 0, 0
419.369993, 61, 1, 1, 0, 99, 0, 0, 0
420.139149, 80, 1, 1, 0, 99, 0, 0, 0
420.401277, 19, 1, 1, 0, 99, 0, 0, 0
420.443238, 40, 1, 1, 0, 99, 0, 0, 0
421.378954, 1, 1, 1, 0, 99, 0, 0, 0
421.554509, 48, 1, 1, 0, 99, 0, 0, 0
424.284135, 90, 1, 1, 0, 99, 0, 0, 0
424.770278, 65, 1, 1, 0, 99, 0, 0, 0
425.876599, 71, 1, 1, 0, 99, 0, 0, 0
426.985995, 53, 1, 1, 0, 99, 0, 0, 0
428.208034, 85, 1, 1, 0, 99, 0, 0, 0
429.557593, 52, 1, 1, 0, 99, 0, 0, 0
429.904037, 98, 1, 1, 0, 99, 0, 0, 0
430.512598, 6, 1, 1, 0, 99, 0, 0, 0
430.541964, 94, 1, 1, 0, 99, 0, 0, 0
430.856809, 27, 1, 1, 0, 99, 0, 0, 0
431.485041, 44, 1, 1, 0, 99, 0, 0, 0
433.588383, 25, 1, 1, 0, 99, 0, 0, 0
435.000375, 64, 1, 1, 0, 99, 0, 0, 0
438.574606, 11, 1, 1, 0, 99, 0, 0, 0
438.710678, 97, 1, 1, 0, 99, 0, 0, 0
438.902603, 88, 1, 1, 0, 99, 0, 0, 0
440.207306, 16, 1, 1, 0, 99, 0, 0, 0
440.824831, 24, 1, 1, 0, 99, 0, 0, 0
441.718657, 41, 1, 1, 0, 99, 0, 0, 0
442.498270, 30, 1, 1, 0, 99, 0, 0, 0
443.893420, 7, 1, 1, 0, 99, 0, 0, 0
443.931413, 82, 1, 1, 0, 99, 0, 0, 0
444.004679, 15, 1, 1, 0, 99, 0, 0, 0
444.076925, 58, 1, 1, 0, 99, 0, 0, 0
445.765521, 95, 1, 1, 0, 99, 0, 0, 0
447.493918, 73, 1, 1, 0, 99, 0, 0, 0
447.792636, 9, 1, 1, 0, 99, 0, 0, 0
448.569784, 55, 1, 1, 0, 99, 0, 0, 0
450.256265, 76, 1, 1, 0, 99, 0, 0, 0
450.589081, 21, 1, 1, 0, 99, 0, 0, 0
452.064389, 49, 1, 1, 0, 99, 0, 0, 0
452.325117, 91, 1, 1, 0, 99, 0, 0, 0
453.060757, 45, 1, 1, 0, 99, 0, 0, 0
454.432512, 42, 1, 1, 0, 99, 0, 0, 0
456.068141, 40, 1, 1, 0, 99, 0, 0, 0
456.555146, 18, 1, 1, 0, 99, 0, 0, 0
457.702834, 63, 1, 1, 0, 99, 0, 0, 0
457.724029, 99, 1, 1, 0, 99, 0, 0, 0
459.302488, 69, 1, 1, 0, 99, 0, 0, 0
459.934715, 47, 1, 1, 0, 99, 0, 0, 0
460.786854, 77, 1, 1, 0, 99, 0, 0, 0
460.913263, 31, 1, 1, 0, 99, 0, 0, 0
465.659017, 68, 1, 1, 0, 99, 0, 0, 0
465.835689, 2, 1, 1, 0, 99, 0, 0, 0
471.983396, 60, 1, 1, 0, 99, 0, 0, 0
472.099494, 92, 1, 1, 0, 99, 0, 0, 0
474.368770, 22, 1, 1, 0, 99, 0, 0, 0
476.030532, 18, 1, 1, 0, 99, 0, 0, 0
476.141258, 17, 1, 1, 0, 99, 0, 0, 0
476.529987, 83, 1, 1, 0, 99, 0, 0, 0
476.641667, 81, 1, 1, 0, 99, 0, 0, 0
477.897094, 84, 1, 1, 0, 99, 0, 0, 0
478.166430, 86, 1, 1, 0, 99, 0, 0, 0
478.690539, 38, 1, 1, 0, 99, 0, 0, 0
479.621618, 89, 1, 1, 0, 99, 0, 0, 0
481.568995, 14, 1, 1, 0, 99, 0, 0, 0
483.397539, 26, 1, 1, 0, 99, 0, 0, 0
484.665167, 12, 1, 1, 0, 99, 0, 0, 0
484.874924, 23, 1, 1, 0, 99, 0, 0, 0
485.262155, 55, 1, 1, 0, 99, 0, 0, 0
486.802040, 5, 1, 1, 0, 99, 0, 0, 0
487.314162, 13, 1, 1, 0, 99, 0, 0, 0
487.358215, 48, 1, 1, 0, 99, 0, 0, 0
489.324940, 78, 1, 1, 0, 99, 0, 0, 0
491.471947, 62, 1, 1, 0, 99, 0, 0, 0
491.534442, 34, 1, 1, 0, 99, 0, 0, 0
492.768128, 50, 1, 1, 0, 99, 0, 0, 0
493.077883, 66, 1, 1, 0, 99, 0, 0, 0
493.230236, 6, 1, 1, 0, 99, 0, 0, 0
494.351076, 37, 1, 1, 0, 99, 0, 0, 0
495.464423, 57, 1, 1, 0, 99, 0, 0, 0
496.101819, 19, 1, 1, 0, 99, 0, 0, 0
496.975385, 29, 1, 1, 0, 99, 0, 0, 0
497.195627, 75, 1, 1, 0, 99, 0, 0, 0
497.203791, 46, 1, 1, 0, 99, 0, 0, 0
497.248641, 33, 1, 1, 0, 99, 0, 0, 0
498.452116, 67, 1, 1, 0, 99, 0, 0, 0
498.775653, 76, 1, 1, 0, 99, 0, 0, 0
499.690629, 20, 1, 1, 0, 99, 0, 0, 0
500.946474, 93, 1, 1, 0, 99, 0, 0, 0
501.153337, 8, 1, 1, 0, 99, 0, 0, 0
501.254243, 65, 1, 1, 0, 99, 0, 0, 0
502.728819, 11, 1, 1, 0, 99, 0, 0, 0
502.824952, 51, 1, 1, 0, 99, 0, 0, 0
504.317529, 87, 1, 1, 0, 99, 0, 0, 0
506.476943, 36, 1, 1, 0, 99, 0, 0, 0
506.583258, 16, 1, 1, 0, 99, 0, 0, 0
506.760787, 24, 1, 1, 0, 99, 0, 0, 0
507.499977, 4, 1, 1, 0, 99, 0, 0, 0
507.590342, 3, 1, 1, 0, 99, 0, 0, 0
507.821874, 96, 1, 1, 0, 99, 0, 0, 0
508.301792, 43, 1, 1, 0, 99, 0, 0, 0
